index,Class,video,measure,ps,frames_n,measure_scaled
16_1_67,2,16_1,21.78,0.12013,93,0.8068196699877656
16_1_68,2,16_1,21.78,0.12013,93,0.8068196699877656
16_1_69,2,16_1,21.78,0.12013,93,0.8068196699877656
16_1_70,2,16_1,21.78,0.12013,93,0.8068196699877656
16_1_71,2,16_1,21.78,0.12013,93,0.8068196699877656
16_1_72,2,16_1,21.78,0.12013,93,0.8068196699877656
16_1_73,2,16_1,21.78,0.12013,93,0.8068196699877656
18_1_53,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_54,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_55,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_56,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_57,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_58,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_80,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_81,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_82,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_83,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_84,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_85,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_86,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_87,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_88,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_89,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_107,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_108,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_109,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_110,2,18_1,24.43,0.119905,111,0.9128145253402422
18_1_111,2,18_1,24.43,0.119905,111,0.9128145253402422
19_1_75,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_76,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_77,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_78,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_79,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_80,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_81,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_82,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_83,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_84,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_85,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_86,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_87,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_88,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_89,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_90,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_91,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_92,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_93,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_94,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_95,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_96,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_97,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_98,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_99,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_100,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_101,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_102,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_103,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_104,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_105,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_106,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_107,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_108,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_109,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_110,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_111,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_112,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_113,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_114,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_115,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_116,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_117,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_118,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_119,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_120,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_121,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_122,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_123,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_124,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_125,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_126,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_127,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_128,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_129,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_130,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_131,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_132,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_133,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_134,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_135,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_136,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_137,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_138,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_139,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_140,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_141,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_142,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_143,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_144,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_145,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_146,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_147,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_148,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_149,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_150,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_151,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_152,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_153,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_154,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_155,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_156,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_157,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_158,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_159,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_160,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_161,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_162,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_163,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_164,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_165,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_166,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_167,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_168,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_169,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_170,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_171,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_172,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_173,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_174,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_175,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_176,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_177,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_178,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_179,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_180,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_181,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_182,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_183,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_184,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_185,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_186,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_187,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_188,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_189,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_190,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_191,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_192,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_193,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_194,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_195,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_196,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_197,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_198,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_199,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_200,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_201,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_202,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_203,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_204,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_205,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_206,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_207,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_208,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_209,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_210,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_211,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_212,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_213,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_214,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_215,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_216,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_217,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_218,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_219,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_220,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_221,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_222,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_223,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_224,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_225,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_226,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_227,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_228,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_229,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_230,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_231,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_232,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_233,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_234,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_235,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_236,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_237,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_238,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_239,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_240,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_241,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_242,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_243,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_244,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_245,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_246,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_247,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_248,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_249,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_250,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_251,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_252,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_253,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_254,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_255,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_256,2,19_1,25.51,0.148224,304,0.7633694430860581
19_1_257,2,19_1,25.51,0.148224,304,0.7633694430860581
21_1_43,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_44,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_45,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_46,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_47,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_48,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_49,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_60,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_61,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_62,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_63,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_64,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_65,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_66,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_67,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_68,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_69,2,21_1,21.65,0.119905,70,0.8033056689424305
21_1_70,2,21_1,21.65,0.119905,70,0.8033056689424305
23_1_50,2,23_1,17.75,0.190267,150,0.3911085089083457
30_1_154,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_155,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_156,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_157,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_158,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_159,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_160,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_161,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_162,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_163,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_164,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_165,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_166,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_167,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_168,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_169,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_170,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_171,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_172,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_173,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_174,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_175,2,30_1,27.53,0.28967,176,0.3993705598752589
30_1_176,2,30_1,27.53,0.28967,176,0.3993705598752589
32_1_31,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_32,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_33,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_34,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_35,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_36,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_37,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_38,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_39,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_40,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_41,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_42,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_43,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_44,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_45,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_46,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_47,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_48,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_49,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_50,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_51,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_52,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_53,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_54,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_55,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_56,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_57,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_58,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_59,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_60,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_61,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_62,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_63,2,32_1,18.59,0.114839,64,0.7150713904528528
32_1_64,2,32_1,18.59,0.114839,64,0.7150713904528528
34_1_79,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_80,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_81,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_82,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_83,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_84,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_85,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_86,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_165,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_166,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_167,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_168,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_169,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_170,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_171,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_172,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_173,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_174,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_175,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_176,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_177,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_178,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_179,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_180,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_181,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_182,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_183,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_184,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_185,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_186,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_187,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_188,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_189,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_190,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_191,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_192,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_193,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_194,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_195,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_196,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_197,2,34_1,31.28,0.316997,405,0.4165482500189598
34_1_198,2,34_1,31.28,0.316997,405,0.4165482500189598
37_1_82,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_83,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_84,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_85,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_86,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_87,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_88,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_89,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_90,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_91,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_92,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_93,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_94,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_95,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_96,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_97,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_98,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_99,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_100,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_101,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_102,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_103,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_104,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_105,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_106,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_107,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_108,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_109,2,37_1,21.26,0.217936,110,0.4112372386744456
37_1_110,2,37_1,21.26,0.217936,110,0.4112372386744456
38_1_133,2,38_1,21.89,0.143193,229,0.672523316376839
38_1_134,2,38_1,21.89,0.143193,229,0.672523316376839
38_1_135,2,38_1,21.89,0.143193,229,0.672523316376839
38_1_136,2,38_1,21.89,0.143193,229,0.672523316376839
38_1_137,2,38_1,21.89,0.143193,229,0.672523316376839
38_1_138,2,38_1,21.89,0.143193,229,0.672523316376839
38_1_139,2,38_1,21.89,0.143193,229,0.672523316376839
