index,Class,video,HC,head_ps,frames_n_x,frames_n_y
4_1_27,2,4_1,23.98,0.129155,252,252
4_1_28,2,4_1,23.98,0.129155,252,252
4_1_29,2,4_1,23.98,0.129155,252,252
4_1_30,2,4_1,23.98,0.129155,252,252
4_1_31,2,4_1,23.98,0.129155,252,252
4_1_32,2,4_1,23.98,0.129155,252,252
4_1_33,2,4_1,23.98,0.129155,252,252
4_1_34,2,4_1,23.98,0.129155,252,252
4_1_35,2,4_1,23.98,0.129155,252,252
4_1_36,2,4_1,23.98,0.129155,252,252
4_1_37,2,4_1,23.98,0.129155,252,252
4_1_38,2,4_1,23.98,0.129155,252,252
4_1_39,2,4_1,23.98,0.129155,252,252
4_1_40,2,4_1,23.98,0.129155,252,252
4_1_41,2,4_1,23.98,0.129155,252,252
4_1_42,2,4_1,23.98,0.129155,252,252
4_1_43,2,4_1,23.98,0.129155,252,252
4_1_44,2,4_1,23.98,0.129155,252,252
4_1_45,2,4_1,23.98,0.129155,252,252
4_1_46,2,4_1,23.98,0.129155,252,252
4_1_47,2,4_1,23.98,0.129155,252,252
4_1_48,2,4_1,23.98,0.129155,252,252
4_1_49,2,4_1,23.98,0.129155,252,252
4_1_50,2,4_1,23.98,0.129155,252,252
4_1_51,2,4_1,23.98,0.129155,252,252
4_1_52,2,4_1,23.98,0.129155,252,252
4_1_53,2,4_1,23.98,0.129155,252,252
4_1_54,2,4_1,23.98,0.129155,252,252
4_1_55,2,4_1,23.98,0.129155,252,252
4_1_56,2,4_1,23.98,0.129155,252,252
4_1_57,2,4_1,23.98,0.129155,252,252
4_1_58,2,4_1,23.98,0.129155,252,252
4_1_59,2,4_1,23.98,0.129155,252,252
4_1_60,2,4_1,23.98,0.129155,252,252
4_1_61,2,4_1,23.98,0.129155,252,252
4_1_62,2,4_1,23.98,0.129155,252,252
4_1_63,2,4_1,23.98,0.129155,252,252
4_1_64,2,4_1,23.98,0.129155,252,252
4_1_65,2,4_1,23.98,0.129155,252,252
4_1_66,2,4_1,23.98,0.129155,252,252
4_1_67,2,4_1,23.98,0.129155,252,252
4_1_68,2,4_1,23.98,0.129155,252,252
4_1_69,2,4_1,23.98,0.129155,252,252
4_1_70,2,4_1,23.98,0.129155,252,252
4_1_71,2,4_1,23.98,0.129155,252,252
4_1_72,2,4_1,23.98,0.129155,252,252
4_1_73,2,4_1,23.98,0.129155,252,252
4_1_74,2,4_1,23.98,0.129155,252,252
4_1_75,2,4_1,23.98,0.129155,252,252
4_1_76,2,4_1,23.98,0.129155,252,252
4_1_77,2,4_1,23.98,0.129155,252,252
4_1_78,2,4_1,23.98,0.129155,252,252
4_1_79,2,4_1,23.98,0.129155,252,252
4_1_80,2,4_1,23.98,0.129155,252,252
4_1_81,2,4_1,23.98,0.129155,252,252
4_1_82,2,4_1,23.98,0.129155,252,252
4_1_83,2,4_1,23.98,0.129155,252,252
4_1_84,2,4_1,23.98,0.129155,252,252
4_1_85,2,4_1,23.98,0.129155,252,252
4_1_86,2,4_1,23.98,0.129155,252,252
4_1_87,2,4_1,23.98,0.129155,252,252
4_1_88,2,4_1,23.98,0.129155,252,252
4_1_89,2,4_1,23.98,0.129155,252,252
4_1_90,2,4_1,23.98,0.129155,252,252
4_1_91,2,4_1,23.98,0.129155,252,252
4_1_92,2,4_1,23.98,0.129155,252,252
4_1_93,2,4_1,23.98,0.129155,252,252
4_1_94,2,4_1,23.98,0.129155,252,252
4_1_95,2,4_1,23.98,0.129155,252,252
4_1_96,2,4_1,23.98,0.129155,252,252
4_1_97,2,4_1,23.98,0.129155,252,252
4_1_98,2,4_1,23.98,0.129155,252,252
4_1_99,2,4_1,23.98,0.129155,252,252
4_1_100,2,4_1,23.98,0.129155,252,252
4_1_101,2,4_1,23.98,0.129155,252,252
4_1_102,2,4_1,23.98,0.129155,252,252
4_1_103,2,4_1,23.98,0.129155,252,252
4_1_104,2,4_1,23.98,0.129155,252,252
4_1_105,2,4_1,23.98,0.129155,252,252
4_1_106,2,4_1,23.98,0.129155,252,252
4_1_107,2,4_1,23.98,0.129155,252,252
4_1_108,2,4_1,23.98,0.129155,252,252
4_1_109,2,4_1,23.98,0.129155,252,252
4_1_110,2,4_1,23.98,0.129155,252,252
4_1_111,2,4_1,23.98,0.129155,252,252
4_1_112,2,4_1,23.98,0.129155,252,252
4_1_113,2,4_1,23.98,0.129155,252,252
4_1_114,2,4_1,23.98,0.129155,252,252
4_1_115,2,4_1,23.98,0.129155,252,252
4_1_116,2,4_1,23.98,0.129155,252,252
4_1_117,2,4_1,23.98,0.129155,252,252
4_1_118,2,4_1,23.98,0.129155,252,252
4_1_119,2,4_1,23.98,0.129155,252,252
4_1_120,2,4_1,23.98,0.129155,252,252
4_1_121,2,4_1,23.98,0.129155,252,252
4_1_122,2,4_1,23.98,0.129155,252,252
4_1_123,2,4_1,23.98,0.129155,252,252
4_1_124,2,4_1,23.98,0.129155,252,252
4_1_125,2,4_1,23.98,0.129155,252,252
4_1_126,2,4_1,23.98,0.129155,252,252
4_1_127,2,4_1,23.98,0.129155,252,252
4_1_128,2,4_1,23.98,0.129155,252,252
4_1_129,2,4_1,23.98,0.129155,252,252
4_1_130,2,4_1,23.98,0.129155,252,252
4_1_131,2,4_1,23.98,0.129155,252,252
4_1_132,2,4_1,23.98,0.129155,252,252
4_1_133,2,4_1,23.98,0.129155,252,252
4_1_134,2,4_1,23.98,0.129155,252,252
4_1_135,2,4_1,23.98,0.129155,252,252
4_1_136,2,4_1,23.98,0.129155,252,252
4_1_137,2,4_1,23.98,0.129155,252,252
4_1_138,2,4_1,23.98,0.129155,252,252
4_1_139,2,4_1,23.98,0.129155,252,252
4_1_140,2,4_1,23.98,0.129155,252,252
4_1_141,2,4_1,23.98,0.129155,252,252
4_1_142,2,4_1,23.98,0.129155,252,252
4_1_143,2,4_1,23.98,0.129155,252,252
4_1_144,2,4_1,23.98,0.129155,252,252
4_1_145,2,4_1,23.98,0.129155,252,252
4_1_146,2,4_1,23.98,0.129155,252,252
4_1_147,2,4_1,23.98,0.129155,252,252
4_1_148,2,4_1,23.98,0.129155,252,252
4_1_149,2,4_1,23.98,0.129155,252,252
4_1_150,2,4_1,23.98,0.129155,252,252
4_1_151,2,4_1,23.98,0.129155,252,252
4_1_152,2,4_1,23.98,0.129155,252,252
4_1_153,2,4_1,23.98,0.129155,252,252
4_1_154,2,4_1,23.98,0.129155,252,252
4_1_155,2,4_1,23.98,0.129155,252,252
4_1_156,2,4_1,23.98,0.129155,252,252
4_1_157,2,4_1,23.98,0.129155,252,252
4_1_158,2,4_1,23.98,0.129155,252,252
4_1_159,2,4_1,23.98,0.129155,252,252
4_1_160,2,4_1,23.98,0.129155,252,252
4_1_161,2,4_1,23.98,0.129155,252,252
4_1_162,2,4_1,23.98,0.129155,252,252
4_1_163,2,4_1,23.98,0.129155,252,252
4_1_164,2,4_1,23.98,0.129155,252,252
4_1_165,2,4_1,23.98,0.129155,252,252
4_1_166,2,4_1,23.98,0.129155,252,252
4_1_167,2,4_1,23.98,0.129155,252,252
4_1_168,2,4_1,23.98,0.129155,252,252
4_1_169,2,4_1,23.98,0.129155,252,252
4_1_170,2,4_1,23.98,0.129155,252,252
4_1_171,2,4_1,23.98,0.129155,252,252
4_1_172,2,4_1,23.98,0.129155,252,252
4_1_173,2,4_1,23.98,0.129155,252,252
4_1_174,2,4_1,23.98,0.129155,252,252
4_1_175,2,4_1,23.98,0.129155,252,252
4_1_176,2,4_1,23.98,0.129155,252,252
4_1_177,2,4_1,23.98,0.129155,252,252
4_1_178,2,4_1,23.98,0.129155,252,252
4_1_179,2,4_1,23.98,0.129155,252,252
4_1_180,2,4_1,23.98,0.129155,252,252
4_1_181,2,4_1,23.98,0.129155,252,252
4_1_182,2,4_1,23.98,0.129155,252,252
4_1_183,2,4_1,23.98,0.129155,252,252
4_1_184,2,4_1,23.98,0.129155,252,252
4_1_185,2,4_1,23.98,0.129155,252,252
4_1_186,2,4_1,23.98,0.129155,252,252
4_1_187,2,4_1,23.98,0.129155,252,252
4_1_188,2,4_1,23.98,0.129155,252,252
4_1_189,2,4_1,23.98,0.129155,252,252
4_1_190,2,4_1,23.98,0.129155,252,252
4_1_191,2,4_1,23.98,0.129155,252,252
4_1_192,2,4_1,23.98,0.129155,252,252
4_1_193,2,4_1,23.98,0.129155,252,252
4_1_194,2,4_1,23.98,0.129155,252,252
4_1_195,2,4_1,23.98,0.129155,252,252
4_1_196,2,4_1,23.98,0.129155,252,252
4_1_197,2,4_1,23.98,0.129155,252,252
4_1_198,2,4_1,23.98,0.129155,252,252
4_1_199,2,4_1,23.98,0.129155,252,252
4_1_200,2,4_1,23.98,0.129155,252,252
4_1_201,2,4_1,23.98,0.129155,252,252
4_1_202,2,4_1,23.98,0.129155,252,252
4_1_203,2,4_1,23.98,0.129155,252,252
4_1_204,2,4_1,23.98,0.129155,252,252
4_1_205,2,4_1,23.98,0.129155,252,252
4_1_206,2,4_1,23.98,0.129155,252,252
4_1_207,2,4_1,23.98,0.129155,252,252
4_1_208,2,4_1,23.98,0.129155,252,252
4_1_209,2,4_1,23.98,0.129155,252,252
4_1_210,2,4_1,23.98,0.129155,252,252
4_1_211,2,4_1,23.98,0.129155,252,252
4_1_212,2,4_1,23.98,0.129155,252,252
4_1_213,2,4_1,23.98,0.129155,252,252
4_1_214,2,4_1,23.98,0.129155,252,252
4_1_215,2,4_1,23.98,0.129155,252,252
4_1_216,2,4_1,23.98,0.129155,252,252
4_1_217,2,4_1,23.98,0.129155,252,252
4_1_218,2,4_1,23.98,0.129155,252,252
4_1_219,2,4_1,23.98,0.129155,252,252
4_1_220,2,4_1,23.98,0.129155,252,252
4_1_221,2,4_1,23.98,0.129155,252,252
4_1_222,2,4_1,23.98,0.129155,252,252
4_1_223,2,4_1,23.98,0.129155,252,252
4_1_224,2,4_1,23.98,0.129155,252,252
4_1_225,2,4_1,23.98,0.129155,252,252
4_1_226,2,4_1,23.98,0.129155,252,252
4_1_227,2,4_1,23.98,0.129155,252,252
4_1_228,2,4_1,23.98,0.129155,252,252
4_1_229,2,4_1,23.98,0.129155,252,252
4_1_230,2,4_1,23.98,0.129155,252,252
4_1_231,2,4_1,23.98,0.129155,252,252
4_1_232,2,4_1,23.98,0.129155,252,252
4_1_233,2,4_1,23.98,0.129155,252,252
4_1_234,2,4_1,23.98,0.129155,252,252
4_1_235,2,4_1,23.98,0.129155,252,252
4_1_236,2,4_1,23.98,0.129155,252,252
4_1_237,2,4_1,23.98,0.129155,252,252
4_1_238,2,4_1,23.98,0.129155,252,252
4_1_239,2,4_1,23.98,0.129155,252,252
4_1_240,2,4_1,23.98,0.129155,252,252
4_1_241,2,4_1,23.98,0.129155,252,252
4_1_242,2,4_1,23.98,0.129155,252,252
4_1_243,2,4_1,23.98,0.129155,252,252
4_1_244,2,4_1,23.98,0.129155,252,252
4_1_245,2,4_1,23.98,0.129155,252,252
4_1_246,2,4_1,23.98,0.129155,252,252
4_1_247,2,4_1,23.98,0.129155,252,252
4_1_248,2,4_1,23.98,0.129155,252,252
4_1_249,2,4_1,23.98,0.129155,252,252
4_1_250,2,4_1,23.98,0.129155,252,252
4_1_251,2,4_1,23.98,0.129155,252,252
4_1_252,2,4_1,23.98,0.129155,252,252
6_1_1,2,6_1,17.92,0.12013,48,48
6_1_2,2,6_1,17.92,0.12013,48,48
6_1_3,2,6_1,17.92,0.12013,48,48
6_1_4,2,6_1,17.92,0.12013,48,48
6_1_5,2,6_1,17.92,0.12013,48,48
6_1_6,2,6_1,17.92,0.12013,48,48
6_1_7,2,6_1,17.92,0.12013,48,48
6_1_8,2,6_1,17.92,0.12013,48,48
6_1_9,2,6_1,17.92,0.12013,48,48
6_1_10,2,6_1,17.92,0.12013,48,48
6_1_39,2,6_1,17.92,0.12013,48,48
6_1_40,2,6_1,17.92,0.12013,48,48
6_1_41,2,6_1,17.92,0.12013,48,48
6_1_42,2,6_1,17.92,0.12013,48,48
6_1_43,2,6_1,17.92,0.12013,48,48
6_1_44,2,6_1,17.92,0.12013,48,48
6_1_45,2,6_1,17.92,0.12013,48,48
6_1_46,2,6_1,17.92,0.12013,48,48
6_1_47,2,6_1,17.92,0.12013,48,48
6_1_48,2,6_1,17.92,0.12013,48,48
9_1_78,2,9_1,22.42,0.254439,177,177
9_1_79,2,9_1,22.42,0.254439,177,177
9_1_80,2,9_1,22.42,0.254439,177,177
9_1_81,2,9_1,22.42,0.254439,177,177
9_1_82,2,9_1,22.42,0.254439,177,177
9_1_83,2,9_1,22.42,0.254439,177,177
9_1_84,2,9_1,22.42,0.254439,177,177
9_1_85,2,9_1,22.42,0.254439,177,177
9_1_86,2,9_1,22.42,0.254439,177,177
9_1_87,2,9_1,22.42,0.254439,177,177
9_1_88,2,9_1,22.42,0.254439,177,177
9_1_89,2,9_1,22.42,0.254439,177,177
9_1_90,2,9_1,22.42,0.254439,177,177
9_1_91,2,9_1,22.42,0.254439,177,177
9_1_92,2,9_1,22.42,0.254439,177,177
9_1_93,2,9_1,22.42,0.254439,177,177
9_1_94,2,9_1,22.42,0.254439,177,177
9_1_95,2,9_1,22.42,0.254439,177,177
9_1_96,2,9_1,22.42,0.254439,177,177
9_1_97,2,9_1,22.42,0.254439,177,177
9_1_98,2,9_1,22.42,0.254439,177,177
9_1_99,2,9_1,22.42,0.254439,177,177
9_1_100,2,9_1,22.42,0.254439,177,177
9_1_101,2,9_1,22.42,0.254439,177,177
9_1_102,2,9_1,22.42,0.254439,177,177
9_1_103,2,9_1,22.42,0.254439,177,177
9_1_104,2,9_1,22.42,0.254439,177,177
9_1_105,2,9_1,22.42,0.254439,177,177
9_1_106,2,9_1,22.42,0.254439,177,177
9_1_107,2,9_1,22.42,0.254439,177,177
9_1_108,2,9_1,22.42,0.254439,177,177
9_1_109,2,9_1,22.42,0.254439,177,177
9_1_110,2,9_1,22.42,0.254439,177,177
9_1_111,2,9_1,22.42,0.254439,177,177
9_1_112,2,9_1,22.42,0.254439,177,177
9_1_113,2,9_1,22.42,0.254439,177,177
9_1_114,2,9_1,22.42,0.254439,177,177
11_1_57,2,11_1,21.98,0.139701,91,91
11_1_58,2,11_1,21.98,0.139701,91,91
11_1_59,2,11_1,21.98,0.139701,91,91
11_1_60,2,11_1,21.98,0.139701,91,91
11_1_61,2,11_1,21.98,0.139701,91,91
11_1_62,2,11_1,21.98,0.139701,91,91
11_1_63,2,11_1,21.98,0.139701,91,91
11_1_64,2,11_1,21.98,0.139701,91,91
11_1_65,2,11_1,21.98,0.139701,91,91
11_1_66,2,11_1,21.98,0.139701,91,91
11_1_67,2,11_1,21.98,0.139701,91,91
15_1_40,2,15_1,22.58,0.119744,96,96
15_1_41,2,15_1,22.58,0.119744,96,96
15_1_42,2,15_1,22.58,0.119744,96,96
15_1_43,2,15_1,22.58,0.119744,96,96
15_1_58,2,15_1,22.58,0.119744,96,96
15_1_59,2,15_1,22.58,0.119744,96,96
15_1_60,2,15_1,22.58,0.119744,96,96
15_1_61,2,15_1,22.58,0.119744,96,96
15_1_62,2,15_1,22.58,0.119744,96,96
15_1_90,2,15_1,22.58,0.119744,96,96
15_1_91,2,15_1,22.58,0.119744,96,96
15_1_92,2,15_1,22.58,0.119744,96,96
15_1_93,2,15_1,22.58,0.119744,96,96
15_1_94,2,15_1,22.58,0.119744,96,96
15_1_95,2,15_1,22.58,0.119744,96,96
15_1_96,2,15_1,22.58,0.119744,96,96
16_1_64,2,16_1,21.78,0.12013,93,93
16_1_65,2,16_1,21.78,0.12013,93,93
16_1_66,2,16_1,21.78,0.12013,93,93
16_1_67,2,16_1,21.78,0.12013,93,93
16_1_68,2,16_1,21.78,0.12013,93,93
16_1_69,2,16_1,21.78,0.12013,93,93
16_1_70,2,16_1,21.78,0.12013,93,93
16_1_71,2,16_1,21.78,0.12013,93,93
16_1_72,2,16_1,21.78,0.12013,93,93
16_1_73,2,16_1,21.78,0.12013,93,93
18_1_53,2,18_1,24.43,0.119905,111,111
18_1_54,2,18_1,24.43,0.119905,111,111
18_1_55,2,18_1,24.43,0.119905,111,111
18_1_56,2,18_1,24.43,0.119905,111,111
18_1_57,2,18_1,24.43,0.119905,111,111
18_1_58,2,18_1,24.43,0.119905,111,111
18_1_80,2,18_1,24.43,0.119905,111,111
18_1_81,2,18_1,24.43,0.119905,111,111
18_1_82,2,18_1,24.43,0.119905,111,111
18_1_83,2,18_1,24.43,0.119905,111,111
18_1_84,2,18_1,24.43,0.119905,111,111
18_1_85,2,18_1,24.43,0.119905,111,111
18_1_86,2,18_1,24.43,0.119905,111,111
18_1_87,2,18_1,24.43,0.119905,111,111
18_1_88,2,18_1,24.43,0.119905,111,111
18_1_89,2,18_1,24.43,0.119905,111,111
18_1_107,2,18_1,24.43,0.119905,111,111
18_1_108,2,18_1,24.43,0.119905,111,111
18_1_109,2,18_1,24.43,0.119905,111,111
18_1_110,2,18_1,24.43,0.119905,111,111
18_1_111,2,18_1,24.43,0.119905,111,111
19_1_75,2,19_1,25.51,0.148224,304,304
19_1_76,2,19_1,25.51,0.148224,304,304
19_1_77,2,19_1,25.51,0.148224,304,304
19_1_78,2,19_1,25.51,0.148224,304,304
19_1_79,2,19_1,25.51,0.148224,304,304
19_1_80,2,19_1,25.51,0.148224,304,304
19_1_81,2,19_1,25.51,0.148224,304,304
19_1_82,2,19_1,25.51,0.148224,304,304
19_1_83,2,19_1,25.51,0.148224,304,304
19_1_84,2,19_1,25.51,0.148224,304,304
19_1_85,2,19_1,25.51,0.148224,304,304
19_1_86,2,19_1,25.51,0.148224,304,304
19_1_87,2,19_1,25.51,0.148224,304,304
19_1_88,2,19_1,25.51,0.148224,304,304
19_1_89,2,19_1,25.51,0.148224,304,304
19_1_90,2,19_1,25.51,0.148224,304,304
19_1_91,2,19_1,25.51,0.148224,304,304
19_1_92,2,19_1,25.51,0.148224,304,304
19_1_93,2,19_1,25.51,0.148224,304,304
19_1_94,2,19_1,25.51,0.148224,304,304
19_1_95,2,19_1,25.51,0.148224,304,304
19_1_96,2,19_1,25.51,0.148224,304,304
19_1_97,2,19_1,25.51,0.148224,304,304
19_1_98,2,19_1,25.51,0.148224,304,304
19_1_99,2,19_1,25.51,0.148224,304,304
19_1_100,2,19_1,25.51,0.148224,304,304
19_1_101,2,19_1,25.51,0.148224,304,304
19_1_102,2,19_1,25.51,0.148224,304,304
19_1_103,2,19_1,25.51,0.148224,304,304
19_1_104,2,19_1,25.51,0.148224,304,304
19_1_105,2,19_1,25.51,0.148224,304,304
19_1_106,2,19_1,25.51,0.148224,304,304
19_1_107,2,19_1,25.51,0.148224,304,304
19_1_108,2,19_1,25.51,0.148224,304,304
19_1_109,2,19_1,25.51,0.148224,304,304
19_1_110,2,19_1,25.51,0.148224,304,304
19_1_111,2,19_1,25.51,0.148224,304,304
19_1_112,2,19_1,25.51,0.148224,304,304
19_1_113,2,19_1,25.51,0.148224,304,304
19_1_114,2,19_1,25.51,0.148224,304,304
19_1_115,2,19_1,25.51,0.148224,304,304
19_1_116,2,19_1,25.51,0.148224,304,304
19_1_117,2,19_1,25.51,0.148224,304,304
19_1_118,2,19_1,25.51,0.148224,304,304
19_1_119,2,19_1,25.51,0.148224,304,304
19_1_120,2,19_1,25.51,0.148224,304,304
19_1_121,2,19_1,25.51,0.148224,304,304
19_1_122,2,19_1,25.51,0.148224,304,304
19_1_123,2,19_1,25.51,0.148224,304,304
19_1_124,2,19_1,25.51,0.148224,304,304
19_1_125,2,19_1,25.51,0.148224,304,304
19_1_126,2,19_1,25.51,0.148224,304,304
19_1_127,2,19_1,25.51,0.148224,304,304
19_1_128,2,19_1,25.51,0.148224,304,304
19_1_129,2,19_1,25.51,0.148224,304,304
19_1_130,2,19_1,25.51,0.148224,304,304
19_1_131,2,19_1,25.51,0.148224,304,304
19_1_132,2,19_1,25.51,0.148224,304,304
19_1_133,2,19_1,25.51,0.148224,304,304
19_1_134,2,19_1,25.51,0.148224,304,304
19_1_135,2,19_1,25.51,0.148224,304,304
19_1_136,2,19_1,25.51,0.148224,304,304
19_1_137,2,19_1,25.51,0.148224,304,304
19_1_138,2,19_1,25.51,0.148224,304,304
19_1_139,2,19_1,25.51,0.148224,304,304
19_1_140,2,19_1,25.51,0.148224,304,304
19_1_141,2,19_1,25.51,0.148224,304,304
19_1_142,2,19_1,25.51,0.148224,304,304
19_1_143,2,19_1,25.51,0.148224,304,304
19_1_144,2,19_1,25.51,0.148224,304,304
19_1_145,2,19_1,25.51,0.148224,304,304
19_1_146,2,19_1,25.51,0.148224,304,304
19_1_147,2,19_1,25.51,0.148224,304,304
19_1_148,2,19_1,25.51,0.148224,304,304
19_1_149,2,19_1,25.51,0.148224,304,304
19_1_150,2,19_1,25.51,0.148224,304,304
19_1_151,2,19_1,25.51,0.148224,304,304
19_1_152,2,19_1,25.51,0.148224,304,304
19_1_153,2,19_1,25.51,0.148224,304,304
19_1_154,2,19_1,25.51,0.148224,304,304
19_1_155,2,19_1,25.51,0.148224,304,304
19_1_156,2,19_1,25.51,0.148224,304,304
19_1_157,2,19_1,25.51,0.148224,304,304
19_1_158,2,19_1,25.51,0.148224,304,304
19_1_159,2,19_1,25.51,0.148224,304,304
19_1_160,2,19_1,25.51,0.148224,304,304
19_1_161,2,19_1,25.51,0.148224,304,304
19_1_162,2,19_1,25.51,0.148224,304,304
19_1_163,2,19_1,25.51,0.148224,304,304
19_1_164,2,19_1,25.51,0.148224,304,304
19_1_165,2,19_1,25.51,0.148224,304,304
19_1_166,2,19_1,25.51,0.148224,304,304
19_1_167,2,19_1,25.51,0.148224,304,304
19_1_168,2,19_1,25.51,0.148224,304,304
19_1_169,2,19_1,25.51,0.148224,304,304
19_1_170,2,19_1,25.51,0.148224,304,304
19_1_171,2,19_1,25.51,0.148224,304,304
19_1_172,2,19_1,25.51,0.148224,304,304
19_1_173,2,19_1,25.51,0.148224,304,304
19_1_174,2,19_1,25.51,0.148224,304,304
19_1_175,2,19_1,25.51,0.148224,304,304
19_1_176,2,19_1,25.51,0.148224,304,304
19_1_177,2,19_1,25.51,0.148224,304,304
19_1_178,2,19_1,25.51,0.148224,304,304
19_1_179,2,19_1,25.51,0.148224,304,304
19_1_180,2,19_1,25.51,0.148224,304,304
19_1_181,2,19_1,25.51,0.148224,304,304
19_1_182,2,19_1,25.51,0.148224,304,304
19_1_183,2,19_1,25.51,0.148224,304,304
19_1_184,2,19_1,25.51,0.148224,304,304
19_1_185,2,19_1,25.51,0.148224,304,304
19_1_186,2,19_1,25.51,0.148224,304,304
19_1_187,2,19_1,25.51,0.148224,304,304
19_1_188,2,19_1,25.51,0.148224,304,304
19_1_189,2,19_1,25.51,0.148224,304,304
19_1_190,2,19_1,25.51,0.148224,304,304
19_1_191,2,19_1,25.51,0.148224,304,304
19_1_192,2,19_1,25.51,0.148224,304,304
19_1_193,2,19_1,25.51,0.148224,304,304
19_1_194,2,19_1,25.51,0.148224,304,304
19_1_195,2,19_1,25.51,0.148224,304,304
19_1_196,2,19_1,25.51,0.148224,304,304
19_1_197,2,19_1,25.51,0.148224,304,304
19_1_198,2,19_1,25.51,0.148224,304,304
19_1_199,2,19_1,25.51,0.148224,304,304
19_1_200,2,19_1,25.51,0.148224,304,304
19_1_201,2,19_1,25.51,0.148224,304,304
19_1_202,2,19_1,25.51,0.148224,304,304
19_1_203,2,19_1,25.51,0.148224,304,304
19_1_204,2,19_1,25.51,0.148224,304,304
19_1_205,2,19_1,25.51,0.148224,304,304
19_1_206,2,19_1,25.51,0.148224,304,304
19_1_207,2,19_1,25.51,0.148224,304,304
19_1_208,2,19_1,25.51,0.148224,304,304
19_1_209,2,19_1,25.51,0.148224,304,304
19_1_210,2,19_1,25.51,0.148224,304,304
19_1_211,2,19_1,25.51,0.148224,304,304
19_1_212,2,19_1,25.51,0.148224,304,304
19_1_213,2,19_1,25.51,0.148224,304,304
19_1_214,2,19_1,25.51,0.148224,304,304
19_1_215,2,19_1,25.51,0.148224,304,304
19_1_216,2,19_1,25.51,0.148224,304,304
19_1_217,2,19_1,25.51,0.148224,304,304
19_1_218,2,19_1,25.51,0.148224,304,304
19_1_219,2,19_1,25.51,0.148224,304,304
19_1_220,2,19_1,25.51,0.148224,304,304
19_1_221,2,19_1,25.51,0.148224,304,304
19_1_222,2,19_1,25.51,0.148224,304,304
19_1_223,2,19_1,25.51,0.148224,304,304
19_1_224,2,19_1,25.51,0.148224,304,304
19_1_225,2,19_1,25.51,0.148224,304,304
19_1_226,2,19_1,25.51,0.148224,304,304
19_1_227,2,19_1,25.51,0.148224,304,304
19_1_228,2,19_1,25.51,0.148224,304,304
19_1_229,2,19_1,25.51,0.148224,304,304
19_1_230,2,19_1,25.51,0.148224,304,304
19_1_231,2,19_1,25.51,0.148224,304,304
19_1_232,2,19_1,25.51,0.148224,304,304
